,Tweets,Fecha,urls,medios
146514,"Amo que macri diga ""por lo que trabajamos"", si el infeliz nunca trabajo en su vida",Fri Mar 01 18:37:49 +0000 2019,,False
158713,"#Presimiente
#HayOtroCamino
#1M  

No es un fantasia ganar un buen sueldo, es algo muy justo. Macri te rebajo el sueldo.",Fri Mar 01 23:13:55 +0000 2019,,False
175049,@Andres_Reig Afecta a trabajadores más pobres y a familias contratantes más pobres.El resto ya pagaba y cobraba más.,Sat Mar 02 07:48:39 +0000 2019,,False
178955,"@veroloren Yo también pero todo comenzó con CFK, su inflación,el cepo y los ""independientes"" que nos quedamos sin trabajo pues sela llevaban",Sat Mar 02 11:37:40 +0000 2019,,False
203727,Etchebest dice ser extorsionado y la verdad es un extorsionador. Trabajó y se dedicó toda su vida a eso. Tenía 1 of… https://t.co/XwNCo2ZUXE,Sat Mar 02 22:21:00 +0000 2019,https://twitter.com/i/web/status/1101970687189749760,False
242072,"o sea todo bien con que cobres por tu trabajo, GENIAL, pero un plomero me quería cobrar 700pe para regular el cosit… https://t.co/VnPK5st7OP",Sun Mar 03 16:27:59 +0000 2019,https://twitter.com/i/web/status/1102244237817593856,False
383618,"@aacerbi Estamos hace décadas sometidos al robo de la patria contratista,al fraude de la estatización de las deudas… https://t.co/fTF5mP5M1l",Thu Mar 07 02:34:09 +0000 2019,https://twitter.com/i/web/status/1103483948448079877,False
495272,"macri en la fabrica, los trabajadores no paga sueldos al menos",Sun Mar 10 04:43:08 +0000 2019,,False
549827,"@WingEzker Difícil que le guste, en ¨Dinamarca macri tendría que pagar impuestos. . .",Mon Mar 11 15:07:59 +0000 2019,,False
580231,@LANACION Se acordaron de pagarle el sueldo al empleado de ustedes. Porque es un neoliberal enrolado traicioneramen… https://t.co/y5KIex2BBb,Tue Mar 12 04:14:44 +0000 2019,https://twitter.com/i/web/status/1105321199482085383,False
680493,Yo sé que uno por dinero y mejores condiciones laborales puede llegar a hacer cualquier cosa pero ABRAZAR A MACRI mmmm vs desis.,Thu Mar 14 15:02:40 +0000 2019,,False
816955,"Macri dijo que su padre ""era parte de un sistema extorsivo del kirchnerismo en el que para trabajar había que pagar… https://t.co/rz8mesl7wV",Sun Mar 17 22:41:03 +0000 2019,https://twitter.com/i/web/status/1107411551424786438,False
817407,"""Es un delito lo que hizo mi padre, él era parte de un sistema extorsivo del kirchnerismo en el que para trabajar h… https://t.co/j7BhE4veDE",Sun Mar 17 22:54:27 +0000 2019,https://twitter.com/i/web/status/1107414926509903872,True
817583,"ˮEs un delito lo que hizo mi padre, él era parte de un sistema extorsivo del kirchnerismo en el que para trabajar h… https://t.co/QBsAFyMd5Y",Sun Mar 17 22:57:10 +0000 2019,https://twitter.com/i/web/status/1107415606377222144,False
823069,"""Es un delito lo que hizo mi padre, él era parte de un sistema extorsivo del kirchnerismo en el que para trabajar h… https://t.co/ODjvffaglo",Mon Mar 18 01:05:05 +0000 2019,https://twitter.com/i/web/status/1107447798709010432,True
824683,"Mauricio Macri en #LaCornisa: ""Mi padre era parte de un sistema extorsivo del kirchnerismo en que para trabajar hab… https://t.co/p0Ogkbhtb6",Mon Mar 18 01:51:19 +0000 2019,https://twitter.com/i/web/status/1107459434199027713,False
