Tweets,Fecha,urls,medios
Creo que si paso un minuto más despierta voy a llorar y no voy a parar por una semana pues crisis depresiva pisciana is back,Sat Mar 30 05:05:17 +0000 2019,,False
No voy a estar tranquila NUNCA a este paso,Sat Mar 30 06:15:16 +0000 2019,,False
no pasó nada así que me voy a seguir durmiendo,Sat Mar 30 15:03:09 +0000 2019,,False
Hace menos de un dia dije q no iba a salir hasta q abra lotus alto y bueno nose q paso ahora,Sat Mar 30 17:31:36 +0000 2019,,False
@Daniela_delapaz Nomas deja que se termine mi reposo y ni vas a aguantar el paso asssssopotamdre,Sat Mar 30 20:22:27 +0000 2019,,False
Mejor me quedo callada no se que pasó y realmente no me interesa.,Sat Mar 30 21:32:21 +0000 2019,,False
Ya pasó la fecha y no tengo noticias de la instalación de mi línea por @Telmex espero no vaya a ser una eterna espera,Sun Mar 31 01:25:08 +0000 2019,,False
No se en que momento se pasó la noche,Sun Mar 31 12:16:08 +0000 2019,,False
"Yo:Este finde me lo paso tumbado y sentado.

Also me: No parar quieto",Sun Mar 31 16:44:18 +0000 2019,,False
"Ya pasó el finde y siento que no descanse nada, no se puede alargar un poco más?? 🙏🏽",Sun Mar 31 23:45:25 +0000 2019,,False
"He pasado sentada taantas horas usando la compu que voy a quedar ciega, sin espalda y de paso como una tabla...más!",Sun Mar 31 23:48:01 +0000 2019,,False
"Estoy acostada y no me puedo quedar quieta, o me pongo de costado o boca arriba, o mejor boca abajo, me paso la alm… https://t.co/dZ5FGXYLIp",Mon Apr 01 00:25:40 +0000 2019,https://twitter.com/i/web/status/1112511311458508802,False
Me la pasó encerrada todo el día 😥,Mon Apr 01 01:30:20 +0000 2019,,False
@infobae Bien!!!!👏👏👏👏👏 Cristina ❤️ peor es ver otra que se duerme parece sentada o se hace la pensativa Carrio,Sat Mar 02 02:01:36 +0000 2019,,False
Cristina Kirchner no podrá ausentarse de su domicilio por más de tres días sin informárselo a la justicia,Sat Mar 02 13:27:49 +0000 2019,,False
"Que K-gada.... No???

Cristina Kirchner no podrá ausentarse de su domicilio por más de tres días sin informárselo a… https://t.co/EPNbWBaCfP",Sat Mar 02 17:12:48 +0000 2019,https://twitter.com/i/web/status/1101893127856635904,False
"ALERTA:
Cristina Kirchner no podrá ausentarse de su domicilio por más de tres días sin informárselo a la justicia",Sat Mar 02 19:10:46 +0000 2019,,False
Causa Obra pública: Cristina Fernández no podrá ausentarse de su domicilio por más de tres días - https://t.co/SyBtANPfd8,Sun Mar 03 02:40:06 +0000 2019,http://www.minutodecierre.com/nota/2019-3-2-23-18-0-causa-obra-publica-cristina-fernandez-no-podra-ausentarse-de-su-domicilio-por-mas-de-tres-dias,False
@NunkMasKKs DOS años duró el luto de Cristina Fernández de Hilton,Sun Mar 03 22:53:54 +0000 2019,,False
Decidí inducirme a un coma hasta que pasen las elecciones,Mon Mar 11 13:57:05 +0000 2019,,False
"@Irene010394 Sentarte,porque si estás parada te vas a cansar..",Wed Mar 13 22:16:35 +0000 2019,,False
"Cristina publicó un video sobre la salud de Florencia: ""No puede estar sentada ni de pie por largo tiempo"" https://t.co/AWLuA9jr1H",Thu Mar 14 10:43:51 +0000 2019,https://telefenoticias.com.ar/politica/cristina-publico-un-video-sobre-la-salud-de-florencia-no-puede-estar-sentada-ni-de-pie-por-largo-tiempo/,False
"Cristina Kirchner viaja a Cuba: “La salud de mi hija fue devastada, no puede permanecer sentada ni de pie”… https://t.co/mDuRSUHHJS",Thu Mar 14 10:57:10 +0000 2019,https://twitter.com/i/web/status/1106147249707470848,False
"Cristina publicó un video sobre la salud de Florencia: ""No puede estar sentada ni de pie por largo tiempo"" https://t.co/Og1smtUoTN",Thu Mar 14 11:09:53 +0000 2019,https://telefenoticias.com.ar/politica/cristina-publico-un-video-sobre-la-salud-de-florencia-no-puede-estar-sentada-ni-de-pie-por-largo-tiempo/,False
"Florencia ""no puede permanecer sentada ni de pie por prolongados periodos de tiempo"".  Recibe un tratamiento en Cub… https://t.co/2N1Rq2wx93",Thu Mar 14 11:16:32 +0000 2019,https://twitter.com/i/web/status/1106152123232931841,False
"#CFK: ""La salud de mi hija fue devastada, no puede permanecer sentada ni de pie"" 
https://t.co/S0WtBCmP0E",Thu Mar 14 11:18:01 +0000 2019,http://www.nordesteya.com/notix/noticia/128435_la_salud_de_mi_hija_fue_devastada_no_puede_permanecer_sentada_ni_de_pie_.htm,False
"Diagnóstico de Florencia Kirchner: no puede estar ni sentada ni parada mucho tiempo, por persecución política.
Digo… https://t.co/NDcZEUBagn",Thu Mar 14 11:25:31 +0000 2019,https://twitter.com/i/web/status/1106154384344403968,False
"Flor K ""No puede permanecer sentada ni de pie por períodos prolongados de tiempo"".
Patología: Alergia al laburo.… https://t.co/W6dlzzSux0",Thu Mar 14 11:21:25 +0000 2019,https://twitter.com/i/web/status/1106153354194051074,False
