Tweets,Fecha,urls,medios
@revistamongolia @IgnasiPerez1 Y de paso el de Trabajo y porque no el de Hacienda. Ni trabajó ni cotizó ni gravó.,Sat Mar 30 10:45:56 +0000 2019,,False
"@CaceresRichieri Hola Mateo, escribinos al DM con tus datos para ver lo que pasó y anular la deuda.",Sat Mar 30 13:20:34 +0000 2019,,False
Cómo conseguir el número de referencia para gestionar toda tu declaración de Renta 2018 paso a paso https://t.co/qppbIJi7xw,Sat Mar 30 15:31:23 +0000 2019,http://bit.ly/2I0mTkt,False
Cuando #Iorio visitó los pagos de #Skyrim pasó ésto: https://t.co/PIXuQ6LwEy,Sat Mar 30 16:00:12 +0000 2019,https://www.youtube.com/watch?v=CzKpWDIvh4o,False
@NoticiasCaracol Y ese por mil y los señores de las coimas y el señor fiscal que pasó a esos si les alcanzó para co… https://t.co/Z2uqdghzhy,Sat Mar 30 18:00:43 +0000 2019,https://twitter.com/i/web/status/1112052046050529285,False
"Emma me pasó todas las fotocopias y apuntes de socio, subi mil",Sat Mar 30 18:33:03 +0000 2019,,False
"Ya le voy a escribir que de paso suba la foto de la tarjeta de crédito por ambos lados, y de excusa le voy a decir… https://t.co/SVLCChR9kR",Sat Mar 30 19:47:30 +0000 2019,https://twitter.com/i/web/status/1112078919795122177,False
@minvsouIs Si fueramos mutuals hasta te paso la clave de la cuenta bancaria,Sun Mar 31 03:36:22 +0000 2019,,False
De paso tengo que decirles que se hagan una cuenta de twitter y les hago los MaMs (?),Sun Mar 31 04:28:13 +0000 2019,,False
@fernandeznorona Y de paso la tenencia y las verificaciones . Son un robo con mamada😉,Sun Mar 31 14:12:36 +0000 2019,,False
Alguien sabe que pasó con @_cygne_ y su cuenta?,Sun Mar 31 14:51:13 +0000 2019,,False
"@IVAN_SALAM Les paso el dato; con la cédula y su fecha de nacimiento, pueden verificar lugar y mesa de votación y l… https://t.co/joSAQMsh0O",Sun Mar 31 15:15:29 +0000 2019,https://twitter.com/i/web/status/1112372853180190721,False
@elespectador A oportunismo y de paso visitar a quien le entrego el dinero registrado en video,Sun Mar 31 17:04:07 +0000 2019,,False
@Xamanek_20 Que pasó con lo de juntar a los bb's :(,Sun Mar 31 21:58:07 +0000 2019,,False
@fakekissy te paso mi cuenta y la depositas ahí :D ahre,Mon Apr 01 01:31:17 +0000 2019,,False
Ale el ciudadano a pagar antes de las elecciones la campaña de los políticos para hacerse la foto y dejar su nombre… https://t.co/YJYOAgKKJs,Fri Mar 01 09:08:21 +0000 2019,https://twitter.com/i/web/status/1101408823191982080,False
@gabicerru Gabi ponete de acuerdo: los cuadernos son reales o un invento para cfk ñañañañaña,Fri Mar 01 09:48:48 +0000 2019,,False
"A este arrepentido sí le creen, ahí no hay""fotocopias""
Ahora bien, si admiten que Calcaterra pagó coimas están admi… https://t.co/EqPJKqZbQZ",Fri Mar 01 10:09:00 +0000 2019,https://twitter.com/i/web/status/1101424086926938112,False
Un arrepentido afirmó que pago coimas en representación de Odebrcht--Iecsa cuando empresa estaba en manos del Grupo… https://t.co/uA6pNEA0UC,Fri Mar 01 13:25:16 +0000 2019,https://twitter.com/i/web/status/1101473477385699329,False
@pagina12 Son te nabos..admiten coimas al kernerismoo jajaja porque es el primo de Macri..ahí si las fotocopias son veridicas,Fri Mar 01 13:45:59 +0000 2019,,False
"Extensión de dominio
#macri dónde está la plata del fondo?
Van a tener que rendir cuentas!",Fri Mar 01 14:16:38 +0000 2019,,False
@lauritalonso Hablas de la guita que Macri y su gabinete de ricachones tienen en paraísos fiscales para EVADIR impuestos???,Fri Mar 01 14:51:41 +0000 2019,,False
@estuvicky Ya nomas le cuento a Macri para q le ponga impuestos,Fri Mar 01 16:31:32 +0000 2019,,False
"Los genios KK nos cuentan alegremente que Calcaterra le pagaba coimas a la presidente CFK. 
Es decir el Kómplice Ca… https://t.co/O3HI0LzGqu",Fri Mar 01 16:46:53 +0000 2019,https://twitter.com/i/web/status/1101524219630891009,False
"++es un mentiroso hijo de puta, habla de que hay cuentas que se tiene que pagar sin excepción de la familia del pre… https://t.co/XRaSX7orqR",Fri Mar 01 17:07:52 +0000 2019,https://twitter.com/i/web/status/1101529500070887424,False
"@venezolanoenpie @hcapriles No puede haber elecciones con el CNE actual, y se debe sincerar la data del registro electoral",Fri Mar 01 18:39:44 +0000 2019,,False
@PinedoFederico que hacemos con las cuentas de ustedes y de los macri en el exterior ? forro,Fri Mar 01 19:09:26 +0000 2019,,False
Los autónomos exigen que la cuota por ingresos reales llegue antes de las elecciones miasesoriaweb https://t.co/E1k0pMtwdZ,Fri Mar 01 19:50:01 +0000 2019,http://bit.ly/2Hehfe2,False
Capriles es un tonto útil de los usurpadores delincuentes y el no se da cuenta o es cómplice de semejantes declarac… https://t.co/NYkUciJk1U,Fri Mar 01 20:54:02 +0000 2019,https://twitter.com/i/web/status/1101586416725905412,False
@DLaraF Que cuento de elecciones.  Al sopero q le revisen sus cuentas las cuales crecen x el famoso diezmo. Hasta cuando con esta situacion,Fri Mar 01 21:32:51 +0000 2019,,False
"@econokafka Eso lo usan para ir justificando los proximos fraudes en consultas, plebiscitos y elecciones",Fri Mar 01 21:39:44 +0000 2019,,False
"@CFKArgentina ya es hora que muera su contador, la está delatando, y sin cuadernos",Fri Mar 01 22:34:38 +0000 2019,,False
@edwal_86 @creditosalbert1 Este año hay elecciones...,Sat Mar 02 00:07:12 +0000 2019,,False
"#viernesintratable
55. Los viáticos oficiales truchos
56. 6,7,8
57. Compra de tierra fiscal a precio vil
58. Los 2… https://t.co/8mpZ7fH4WE",Sat Mar 02 01:04:14 +0000 2019,https://twitter.com/i/web/status/1101649379176468480,False
@TorresGotay Eso es para seguir cogiendo de pendejos a los PNPs y sacarlos a votar el día de las elecciones.,Sat Mar 02 01:24:18 +0000 2019,,False
Están hipotecados por los bancos y la troika ya le leyó la cartilla y el mayor error y muestra de que tiene que hac… https://t.co/GCZ3FCXOhc,Sat Mar 02 01:46:35 +0000 2019,https://twitter.com/i/web/status/1101660038458945537,False
"Cuando deje de existir coimas, clientelismo, corrupción durante las campañas de elecciones para escoger los alcalde… https://t.co/FWJ65UQktH",Sat Mar 02 02:00:22 +0000 2019,https://twitter.com/i/web/status/1101663506888355841,False
Confirman una deuda fiscal de una empresa del Grupo Macri https://t.co/LbG5ihUuwq vía @LANACION,Sat Mar 02 02:29:51 +0000 2019,http://www.lanacion.com.ar/2201262,False
"@Moni_CFK @mis2centavos pero sigue la trnsmision de las planillas, que hacen el mismo fraude que en honduras",Sat Mar 02 03:24:08 +0000 2019,,False
@robdnavarro Ja esto es mentira. Ni ahí CFK llega a ese porcentaje.,Sat Mar 02 04:23:40 +0000 2019,,False
"@Luismita Publicar datos brutos es un método también. Escoger la muestra, las preguntas a realizar, la estratificac… https://t.co/5x94a0X0k7",Sat Mar 02 10:20:56 +0000 2019,https://twitter.com/i/web/status/1101789477863940098,False
@wwnicolas @flandivar @dsantoro59 Y las cuentas de Máximo Kirchner en EEUU que no eran tales porque ni el banco exi… https://t.co/ClmBXzCPEI,Sat Mar 02 11:38:44 +0000 2019,https://twitter.com/i/web/status/1101809058707853313,False
"Una persona honesta no tiene ningún problema que la controlen,auditen, fiscalicen
NK y CFK cooptaron o en su caso d… https://t.co/AN4oJrpDWI",Sat Mar 02 12:37:36 +0000 2019,https://twitter.com/i/web/status/1101823871819370496,False
@Er_Richal Los tienen escondidos y los sacan para las elecciones.,Sat Mar 02 14:51:53 +0000 2019,,False
@podem_cat @MayoralRafa Solo rendir cuentas o pagarán impuestos según su patrimonio? Porque esto es la misma histor… https://t.co/SirRC82HGw,Sat Mar 02 15:34:41 +0000 2019,https://twitter.com/i/web/status/1101868435364085765,False
@mingo_1 @NituPerez Por ahí debe venir @datanalisis con sus encuesticas pagadas creando la matriz que el 90% quiere elecciones.,Sat Mar 02 15:43:24 +0000 2019,,False
"Parece que el extorsionadores, delincuentes y corruptos del Fiscal Stornelli y Juez Bonadio le daban ""comisiones ta… https://t.co/J1dRltsD43",Sat Mar 02 17:10:14 +0000 2019,https://twitter.com/i/web/status/1101892482646884354,False
@LANACION @gracielaocana Entonces cfk es una especie  X men  telepáticamente manejaba al fiscal y lo obligaba a pedir coimas,Sat Mar 02 17:08:18 +0000 2019,,False
"""Los cuadernos no existen, los arrepentidos declararon de forma ilegal, hay detenidos de forma ilegal, no hay una s… https://t.co/SBkUoDurJo",Sat Mar 02 23:18:11 +0000 2019,https://twitter.com/i/web/status/1101985077695860741,False
"Kumpas, seguramente Franco Macri pago muchas coimas y seguramente parte de esas muchas las cobro Néstor",Sun Mar 03 01:29:27 +0000 2019,,False
Me boludearon más veces que las que macri subió los impuestos :(,Sun Mar 03 04:13:45 +0000 2019,,False
@wandxlita Hay que hacerlos mierda con los impuestos como hace macri con nosotros,Sun Mar 03 04:48:07 +0000 2019,,False
