Medios;Portal
El ancasti;https://www.elancasti.com.ar/
La unión digital;https://www.launion.digital/
Catamarca ya;http://www.catamarcaya.com.ar/2012/
El esquiú;https://www.elesquiu.com/
Catamarca actual;https://www.catamarcactual.com.ar/
El esquiundense;https://www.elesquiudense.com.ar/
La voz del interior;https://www.lavoz.com.ar/
Cadena 3;https://www.cadena3.com/
La nueva mañana;https://lmdiario.com.ar/
El doce;https://eldoce.tv/
Córdoba 24;https://www.cba24n.com.ar/
Hoy día Córdoba;https://hoydia.com.ar/
El día de Córdoba;https://www.eldiadecordoba.es/
Vía Córdoba;https://viapais.com.ar/cordoba/
Cba24;https://www.cba24n.com.ar/
Comercio y justicia;https://comercioyjusticia.info/
Diario Norte;https://www.diarionorte.com/
Diario Chaco;https://www.diariochaco.com/
Chaco día por día;https://www.chacodiapordia.com/
Data Chaco;https://datachaco.com/
Diario primera línea;https://diarioprimeralinea.com.ar/
Diario tag;https://www.diariotag.com/
24 Siete;https://24siete.info/
La voz del Chaco;https://www.diariolavozdelchaco.com/
Diario Época;https://www.diarioepoca.com/
Diario el litoral;https://www.ellitoral.com.ar/
TN Corrientes;http://www.tncorrientes.com/
Radio Sudamericana;https://www.radiosudamericana.com/
Radio Dos;https://www.radiodos.com.ar/
Corrientes hoy;https://www.corrienteshoy.com/
Norte de Corrientes;https://www.nortecorrientes.com/ 
Tu Corrientes;https://corrientes.tucorrientes.com/
Diario la República;https://diariolarepublica.com.ar/notix/
Lt7;https://www.lt7noticias.com/
Diario El libertador;https://www.diarioellibertador.com.ar/
FM Bahía engaño noticias;https://fmbahiaengano.com/
Tiempo online;http://tiemponline.com/
Diario crónica;https://www.diariocronica.com.ar/
El comodorense;https://elcomodorense.net/
Chubt para todos;https://chptnoticias.com/
Patagónico;https://www.elpatagonico.com/
Diario Jornada;https://www.diariojornada.com.ar/
Radio Cadena 3 Patagónica;-
El Diario;https://www.eldiariodemadryn.com/
El Chubut;https://www.elchubut.com.ar/
Radio del mar;https://radiodelmar.net/
La voz;https://www.lavoz901.com/
El once;https://www.elonce.com/
Análisis digital;https://www.analisisdigital.com.ar/
Informe digital;https://informedigital.com.ar/
Uno entre rios;https://www.unoentrerios.com.ar/
La prensa digital;https://www.laprensa.com.ar/
El diario;https://www.eldiario.com.ar/
El comercial;https://www.elcomercial.com.ar/
Opinión ciudadana;https://www.diariopinion.com.ar/
Noticias Formosa;https://www.noticiasformosa.com.ar/
La Mañana;https://www.xn--lamaanaonline-lkb.com.ar/
Siempre Formosa;https://www.siempreformosa.com/
Radio La voz;http://www.radiolavoz.com.ar/
Prensa Libre;https://prensalibreformosa.com/
Diario Expres;https://www.expresdiario.com.ar/
Diario Formosa;https://www.diarioformosa.net/
Jujuy al día;https://www.jujuyaldia.com.ar/
El tribuno Jujuy;https://www.eltribuno.com/jujuy
Diario Pregón;https://www.pregon.com.ar/
El libertario;http://www.ellibertario.com/
Todo Jujuy;https://www.todojujuy.com/
Jujuy Online Noticias;https://jujuyonlinenoticias.com.ar/
Notinor;https://notinor.com/jujuy/
Jujuy al momento;https://www.jujuyalmomento.com/
Ya misiones;https://www.yamisiones.com/
Misiones cuatro;https://misionescuatro.com/
Misiones online;https://misionesonline.net/
Noticias del 6;https://www.noticiasdel6.com/
Página 16;https://www.pagina16.com.ar/
El territorio;https://www.elterritorio.com.ar/
Primera edición;https://www.primeraedicion.com.ar/
Stop en Línea;stopenlinea.com.ar
La Voz de Cataratas;https://lavozdecataratas.com/
Antena Misiones;https://antenamisiones.com/
El diario de La Pampa;https://www.eldiariodelapampa.com.ar/
Diario textual;https://diariotextual.com/inicio/
La arena;https://www.laarena.com.ar/
Contacto Radio;https://contactoradio.com/
Diario noticias;https://www.diarionoticias.com.ar/
Maraco digital;http://www.maracodigital.net/
Infopico;https://www.infopico.com/
Plan B;https://www.planbnoticias.com.ar/
Pampa Diario;http://www.pampadiario.com/
Radio Don;https://radiodon.com.ar/
La Pampa;https://www.lapampanoticias.com.ar/
Día x Día;https://www.lapampadiaxdia.com.ar/
La mañana de Neuquén;https://www.lmneuquen.com/
Noticias Neuquén;https://noticiasnqn.com.ar/
Minuto Neuquén;https://www.minutoneuquen.com/
Tu noticia;https://www.tunoticia.com.ar/
Diariamente Neuquén;https://www.diariamenteneuquen.com.ar/V3.0/
Diario Andino;https://www.diarioandino.com.ar/
La Angostura digital;https://www.laangosturadigital.com.ar/
San Martín a Diario;https://sanmartinadiario.com.ar/home/
Neuquén informa;https://www.neuqueninforma.gob.ar/
Lacar digital;https://www.lacardigital.com.ar/
Neuquén al instante;https://www.neuquenalinstante.com.ar/
Mejor Informado;https://www.mejorinformado.com/regionales
La voz del Neuquén;https://weblavoz.com.ar/
Fenix Noticias;http://fenix951.com.ar/nuevo_2013/main.html
Nueva Rioja ;https://www.nuevarioja.com.ar/
Tiempo Popular;https://tiempopopular.com.ar/
El independiente;https://www.elindependiente.com.ar/
La red La Rioja;https://laredlarioja.com.ar/web/website/
Rioja virtual;https://riojavirtual.com.ar/
Minuto Rioja;https://www.minutorioja.com.ar/web/index.php
Rio Negro;https://www.rionegro.com.ar/
Noticias net;https://www.noticiasnet.com.ar/
ADN Rio Negro;https://www.adnrionegro.com.ar/
APP Noticias;http://appnoticias.com.ar/app/
El Cordillerano;https://www.elcordillerano.com.ar/
Esto que pasa;http://estoquepasa.com.ar/2016/
Bariloche digital;https://barilochedigital.com/
Barinoticias;https://www.barinoticias.com.ar/
ADN Roca;https://www.anroca.com.ar/ 
Bariloche opina;https://www.barilocheopina.com/
LM Cipolletti;https://www.lmcipolletti.com/
Informativo hoy;https://informativohoy.com.ar/
Bariloche 2000;https://www.bariloche2000.com/
Anbariloche;https://www.anbariloche.com.ar/
Los Andes;https://www.losandes.com.ar/
MDZ Online;https://www.mdzol.com/
Diario Uno;https://www.diariouno.com.ar/
